CountryCode,CountryZone,GmtStartTms,GmtEndTms,GmtDiff,OffsetMinutes
AL,00,2016-03-27 01:00:00.000,2016-10-30 01:00:00.000,200,120
AL,00,2016-10-30 01:00:00.000,2017-03-26 01:00:00.000,100,60
AL,00,2017-03-26 01:00:00.000,2017-10-29 01:00:00.000,200,120
AL,00,2017-10-29 01:00:00.000,2018-03-25 01:00:00.000,100,60
AL,00,2018-03-25 01:00:00.000,2018-10-28 01:00:00.000,200,120
AL,00,2018-10-28 01:00:00.000,2019-03-31 01:00:00.000,100,60
AL,00,2019-03-31 01:00:00.000,2019-10-27 01:00:00.000,200,120
AL,00,2019-10-27 01:00:00.000,2020-03-29 01:00:00.000,100,60
AL,00,2020-03-29 01:00:00.000,2020-10-25 01:00:00.000,200,120
AL,00,2020-10-25 01:00:00.000,3000-01-01 00:00:00.000,100,60
AM,00,2000-10-28 23:01:00.000,2001-03-24 23:00:00.000,400,240
AM,00,2001-03-24 23:00:00.000,2001-10-27 23:01:00.000,500,300
AM,00,2001-10-27 23:01:00.000,2002-03-30 23:00:00.000,400,240
AM,00,2002-03-30 23:00:00.000,2002-10-26 23:01:00.000,500,300
AM,00,2002-10-26 23:01:00.000,2003-03-29 23:00:00.000,400,240
AM,00,2003-03-29 23:00:00.000,2003-10-25 23:01:00.000,500,300
AM,00,2003-10-25 23:01:00.000,2004-03-27 23:00:00.000,400,240
AM,00,2004-03-27 23:00:00.000,2004-10-30 23:01:00.000,500,300
AM,00,2004-10-30 23:01:00.000,2005-03-26 23:00:00.000,400,240
AM,00,2005-03-26 23:00:00.000,2005-10-29 23:00:00.000,500,300
AM,00,2005-10-29 23:00:00.000,2006-03-25 23:00:00.000,400,240
AM,00,2006-03-25 23:00:00.000,2006-10-28 23:00:00.000,500,300
AM,00,2006-10-28 23:00:00.000,2007-03-24 23:00:00.000,400,240
AM,00,2007-03-24 23:00:00.000,2007-10-27 22:00:00.000,500,300
AM,00,2007-10-27 22:00:00.000,2007-10-27 23:00:00.000,400,240
AM,00,2007-10-27 23:00:00.000,2008-03-29 23:00:00.000,400,240
AM,00,2008-03-29 23:00:00.000,2008-10-25 23:00:00.000,500,300
AM,00,2008-10-25 23:00:00.000,2009-03-28 22:00:00.000,400,240
AM,00,2009-03-28 22:00:00.000,2009-10-24 22:00:00.000,500,300
AM,00,2009-10-24 22:00:00.000,2010-03-27 22:00:00.000,400,240
AM,00,2010-03-27 22:00:00.000,2010-10-30 22:00:00.000,500,300
AM,00,2010-10-30 22:00:00.000,2011-03-26 22:00:00.000,400,240
AM,00,2011-03-26 22:00:00.000,2011-10-29 22:00:00.000,500,300
AM,00,2011-10-29 22:00:00.000,3000-01-01 00:00:00.000,400,240
AN,00,1901-01-01 00:00:00.000,2011-01-20 00:00:00.000,-400,-240
AN,00,2011-01-20 00:00:00.000,3000-01-01 00:00:00.000,-400,-240
AO,00,1901-01-01 00:00:00.000,1990-01-01 00:00:00.000,100,60
AO,00,1990-01-01 00:00:00.000,3000-01-01 00:00:00.000,100,60
AQ,00,1901-01-01 00:00:00.000,1990-01-01 00:00:00.000,-400,-240
AQ,00,1990-01-01 00:00:00.000,3000-01-01 00:00:00.000,-400,-240
AR,00,1901-01-01 00:00:00.000,2001-05-21 00:00:00.000,-300,-180
AR,00,2001-05-21 00:00:00.000,2010-04-13 00:00:00.000,-300,-180
AR,00,2010-04-13 00:00:00.000,3000-01-01 00:00:00.000,-300,-180
AR,01,2001-05-21 00:00:00.000,2009-03-15 02:00:00.000,-300,-180
AR,01,2009-03-15 02:00:00.000,2009-10-18 03:00:00.000,-300,-180
AR,01,2009-10-18 03:00:00.000,2010-03-21 02:00:00.000,-200,-120
AR,01,2010-03-21 02:00:00.000,2010-10-17 03:00:00.000,-300,-180
AR,01,2010-10-17 03:00:00.000,2011-03-20 02:00:00.000,-200,-120
AR,01,2011-03-20 02:00:00.000,3000-01-01 00:00:00.000,-300,-180
AR,02,2001-05-21 01:00:00.000,2004-10-17 04:00:00.000,-400,-240
AR,02,2004-10-17 04:00:00.000,2009-10-18 04:00:00.000,-400,-240
AR,02,2009-10-18 04:00:00.000,2010-03-21 03:00:00.000,-300,-180
AR,02,2010-03-21 03:00:00.000,2010-10-17 04:00:00.000,-400,-240
AR,02,2010-10-17 04:00:00.000,2011-03-20 03:00:00.000,-300,-180
AR,02,2011-03-20 03:00:00.000,3000-01-01 00:00:00.000,-400,-240
AR,1A,2005-01-08 00:00:00.000,3000-01-01 00:00:00.000,-300,-180
AS,00,1901-01-01 00:00:00.000,1990-01-01 00:00:00.000,-1100,-660
AS,00,1990-01-01 00:00:00.000,3000-01-01 00:00:00.000,-1100,-660
AT,00,2000-10-29 01:01:00.000,2001-03-25 01:00:00.000,100,60
AT,00,2001-03-25 01:00:00.000,2001-10-28 01:01:00.000,200,120
AT,00,2001-10-28 01:01:00.000,2002-03-31 01:00:00.000,100,60
AT,00,2002-03-31 01:00:00.000,2002-10-27 01:01:00.000,200,120
AT,00,2002-10-27 01:01:00.000,2003-03-30 01:00:00.000,100,60
AT,00,2003-03-30 01:00:00.000,2003-10-26 01:01:00.000,200,120
AT,00,2003-10-26 01:01:00.000,2004-03-28 01:00:00.000,100,60
AT,00,2004-03-28 01:00:00.000,2004-10-31 01:01:00.000,200,120
AT,00,2004-10-31 01:01:00.000,2005-03-27 01:00:00.000,100,60
AT,00,2005-03-27 01:00:00.000,2005-10-30 01:00:00.000,200,120
AT,00,2005-10-30 01:00:00.000,2006-03-26 01:00:00.000,100,60
AT,00,2006-03-26 01:00:00.000,2006-10-29 01:00:00.000,200,120
AT,00,2006-10-29 01:00:00.000,2007-03-25 01:00:00.000,100,60
AT,00,2007-03-25 01:00:00.000,2007-10-28 01:00:00.000,200,120
AT,00,2007-10-28 01:00:00.000,2008-03-30 01:00:00.000,100,60
